filename,notes,authors,licenses,urls
body/bodies/female/amber.png,"see details at https://opengameart.org/content/lpc-character-bases","Benjamin K. Smith (BenCreating),bluecarrot16,TheraHedwig,Evert,MuffinElZangano,Durrani,Pierre Vigier (pvigier),ElizaWy,Matthew Krohn (makrohn),Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-ladies,https://opengameart.org/content/lpc-7-womens-shirts,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-revised-character-basics,https://gitlab.com/vagabondgame/lpc-characters,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
head/heads/human/female/amber.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/,https://opengameart.org/content/lpc-character-bases"
head/faces/female/neutral/amber.png,"Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman,ElizaWy,Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head,https://opengameart.org/content/ulpc-expanded-expressions"
eyes/human/adult/neutral/brown.png,"original by Redshrike, mapped to all frames by Matthew Krohn & JaidynReiman","JaidynReiman,Matthew Krohn (makrohn),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles"
head/nose/straight/adult/amber.png,"","Thane Brimhall (pennomi),laetissima,Matthew Krohn (makrohn)","GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-base-character-expressions"
eyes/eyebrows/thin/adult/raven.png,"","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Hair,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
hair/xlong/adult/fg/raven.png,"Original by Nila122; cleaned up, resplit into separate layers, and added jump/run/sit/revised combat by JaidynReiman","JaidynReiman,Nila122","OGA-BY 3.0,CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair,https://opengameart.org/content/lpc-expanded-xlong-hair"
hair/xlong/adult/bg/raven.png,"Original by Nila122; cleaned up, resplit into separate layers, and added jump/run/sit/revised combat by JaidynReiman","JaidynReiman,Nila122","OGA-BY 3.0,CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair,https://opengameart.org/content/lpc-expanded-xlong-hair"
hat/holiday/christmas/adult/gray.png,"Santa/Elf Hat by bluecarrot16, untrimmed Santa Hat by JaidynReiman","bluecarrot16,JaidynReiman","OGA-BY 3.0,GPL 3.0","https://opengameart.org/content/lpc-santa,https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
neck/necklace/female/steel.png,"extra animations by bluecarrot16","bluecarrot16,Luke Mehl","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/female-mage-clothing-set,http://opengameart.org/content/lpc-clothing-updates"
neck/charm/box/female/steel.png,"","bluecarrot16","CC0","https://opengameart.org/content/lpc-jewelry"
arms/gloves/female/purple.png,"metal gloves by wulax, extended to female base by makrohn, recolors by bigbeargames, adapted to v3 bases by bluecarrot16, added to expanded animations by JaidynReiman","Michael Whitlock (bigbeargames),Matthew Krohn (makrohn),Johannes Sjölund (wulax),bluecarrot16","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates"
torso/clothes/longsleeve/longsleeve2_buttoned/female/slate.png,"original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman","ElizaWy,JaidynReiman,Stephen Challener (Redshrike),Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics,https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more,https://opengameart.org/content/lpc-expanded-simple-shirts"
torso/aprons/suspenders/female/lavender.png,"original by ElizaWy; spellcast/thrust/shoot/hurt/combat adapted from original by JaidynReiman","ElizaWy,JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing,https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
legs/leggings/thin/purple.png,"Original bases by Redshrike, thrust/shoot bases by Wulax, adapted from sara's leggings to v3 bases by bluecarrot16, jump/run/sit by JaidynReiman based on ElizaWy's and modified to match","bluecarrot16,ElizaWy,JaidynReiman,Mandi Paugh,William.Thompsonj,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0","http://opengameart.org/content/sara-wizard,https://opengameart.org/content/lpc-sara,https://opengameart.org/content/lpc-expanded-pants"
feet/boots/rimmed/thin/iron.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,GPL 3.0","https://opengameart.org/content/lpc-kimono-relm,https://opengameart.org/content/lpc-expanded-socks-shoes"
weapon/magic/wand/female/wand.png,"","Matthew Krohn (makrohn)","CC-BY-SA 3.0,GPL 3.0,OGA-BY 3.0","https://opengameart.org/content/lpc-wands"
